,Operacao,Operador_Padronizado,Descricao_do_Tipo
772,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
773,Voo Regular,AZUL,OUTROS
774,Voo Regular,AZUL,
776,Táxi Aéreo,TAXI AEREO KOVACS S/A,
777,Táxi Aéreo,NORTH STAR TAXI AEREO LTDA,
787,Táxi Aéreo,HELIMED AERO TAXI LTDA,
791,Táxi Aéreo,TAF LINHAS AEREAS S/A,
796,Voo Regular,TAM,OUTROS
810,Táxi Aéreo,RIO ACRE AEROTAXI LTDA ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
818,Táxi Aéreo,OMNI TAXI AEREO LTDA,OUTROS
820,Voo Regular,TAM,
821,Voo Regular,AZUL,OUTROS
822,Voo Regular,GOL,MÉDICO
827,Voo Regular,TRIP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
830,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
833,Táxi Aéreo,OCEANAIR TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
836,Voo Regular,TAM,
837,Táxi Aéreo,ATLAS TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
838,Voo Regular,OCEANAIR,
845,Táxi Aéreo,HELICON TAXI AEREO,PERDA DE CONTROLE EM VOO
846,Voo Regular,AZUL,COLISÃO COM AVE
855,Voo Regular,MAP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
859,Táxi Aéreo,JAD TAXI AEREO LTDA,OUTROS
873,Táxi Aéreo,MANAUS AEROTAXI PARTICIPACOES LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
874,Voo Regular,AZUL,
878,Táxi Aéreo,FLEX AERO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
882,Táxi Aéreo,EASY TAXI AEREO LTDA,
883,Voo Regular,RIO,
884,Voo Regular,RIO,OUTROS
888,Táxi Aéreo,TAXI AEREO CANDIDO LTDA,
889,Voo Regular,AZUL,
890,Voo Regular,AZUL,
891,Voo Regular,AZUL,
892,Voo Regular,OCEANAIR,COMBUSTÍVEL
893,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
894,Táxi Aéreo,AEROCLUBE SUL CATARINENSE,EXCURSÃO DE PISTA
896,Táxi Aéreo,SETE TAXI AEREO LTDA,
898,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,
902,Táxi Aéreo,ALTAIR & ALTAIR TAXI AEREO LTDA,
903,Voo Regular,TAM,OUTROS
907,Voo Regular,GOL,
917,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
931,Táxi Aéreo,MUNDY TAXI AEREO LTDA,
932,Táxi Aéreo,JAO TAXI AEREO LTDA,
934,Voo Regular,VARIG/GOL,
941,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
945,Táxi Aéreo,DOURINHOS TAXI AEREO LTDA,
950,Táxi Aéreo,AMERICA AIR TAXI AEREO LTDA,
