,Operacao,Operador_Padronizado,Descricao_do_Tipo
9090,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9091,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9094,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9095,Voo Regular,LAN CHILE AIRLINES,
9102,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9104,Táxi Aéreo,SANTAFE TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9110,Voo Regular,AZUL,
9112,Voo Regular,TAM,OUTROS
9114,Táxi Aéreo,SETE TAXI AEREO LTDA,
9120,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,OUTROS
9125,Voo Regular,GOL,
9127,Voo Regular,TAM,
9130,Táxi Aéreo,CB AIR TAXI AEREO LTDA,OUTROS
9131,Táxi Aéreo,EASY TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9139,Voo Regular,AZUL,
9140,Táxi Aéreo,PATINTINS TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9142,Voo Regular,OCEANAIR,
9146,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9147,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9148,Voo Regular,AZUL,
9149,Táxi Aéreo,EASY TAXI AEREO LTDA,COLISÃO NO SOLO
9155,Voo Regular,AZUL,
9160,Voo Regular,TAM,COLISÃO NO SOLO
9162,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,PERDA DE CONTROLE EM VOO
9163,Voo Regular,AZUL,
9164,Voo Regular,GOL,
9165,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9166,Voo Regular,OCEANAIR,COLISÃO COM AVE
9173,Voo Regular,AZUL,
9176,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9179,Voo Regular,AZUL,
9182,Voo Regular,AZUL,
9183,Voo Regular,AZUL,
9185,Voo Regular,AZUL,
9186,Voo Regular,AZUL,
9196,Táxi Aéreo,AEROLEO TAXI AEREO,OUTROS
9198,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9205,Táxi Aéreo,HELISUL TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9206,Voo Regular,PASSAREDO,OUTROS
9207,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9213,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9214,Táxi Aéreo,ADDEY TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9215,Voo Regular,AZUL,
9216,Voo Regular,AZUL,
9217,Táxi Aéreo,CEARA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9219,Voo Regular,AZUL,COLISÃO NO SOLO
9220,Táxi Aéreo,ALP AERO TAXI LTDA,
9221,Voo Regular,TAM,COLISÃO NO SOLO
9222,Voo Regular,OCEANAIR,OUTROS
9226,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9227,Voo Regular,TAM,EXCURSÃO DE PISTA
9228,Voo Regular,AZUL,FOGO/FUMAÇA
9229,Voo Regular,TAM,PERDA DE CONTROLE NO SOLO
9231,Voo Regular,AZUL,
9232,Voo Regular,GOL,
9233,Voo Regular,UNITED AIRLINES,
9235,Voo Regular,AZUL,
9236,Voo Regular,GOL,
9238,Voo Regular,AZUL,
9239,Voo Regular,GOL,
9240,Voo Regular,PASSAREDO,OUTROS
9243,Voo Regular,AZUL,
9245,Táxi Aéreo,LIDER AVIACAO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9247,Voo Regular,AZUL,
9248,Táxi Aéreo,JAD TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9251,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9252,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9257,Táxi Aéreo,OCEANAIR TAXI AEREO LTDA,OUTROS
9261,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9262,Voo Regular,AMERICAN AIRLINES,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9268,Táxi Aéreo,TAXI AEREO HERCULES LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9270,Voo Regular,AZUL,
9273,Voo Regular,GOL,OUTROS
9280,Voo Regular,AZUL,
9283,Voo Regular,AZUL,
9284,Táxi Aéreo,REALI TAXI AEREO LTDA,OUTROS
9287,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,EXCURSÃO DE PISTA
9288,Táxi Aéreo,PARAMAZONIA TAXI AEREO LTDA,PERDA DE CONTROLE NO SOLO
9289,Voo Regular,AZUL,
9290,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,OUTROS
9291,Voo Regular,AZUL,
9292,Voo Regular,AZUL,
9299,Voo Regular,AZUL,
9300,Voo Regular,OCEANAIR,OUTROS
9301,Voo Regular,AZUL,
9307,Táxi Aéreo,LIDER TAXI AEREO S A AIR BRASIL,
9311,Voo Regular,AZUL,
9313,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9314,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9315,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9316,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
9319,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9325,Táxi Aéreo,AEROBASE TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9326,Voo Regular,TAM,
9327,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9328,Táxi Aéreo,ABELHA TAXI AEREO E MANUTENCAO LTDA,OUTROS
9331,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9333,Voo Regular,TAM,COLISÃO COM AVE
9335,Voo Regular,TAM,OUTROS
9336,Voo Regular,AZUL,
9337,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,OUTROS
9338,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,OUTROS
9339,Táxi Aéreo,ATLAS TAXI AEREO LTDA,OUTROS
9341,Voo Regular,GOL,
9342,Voo Regular,AZUL,
9343,Voo Regular,GOL,
9345,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9346,Voo Regular,ESPANHA,COMBUSTÍVEL
9350,Voo Regular,AMERICAN AIRLINES,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
9352,Voo Regular,OCEANAIR,FOGO/FUMAÇA
9355,Voo Regular,AZUL,OUTROS
9356,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9358,Voo Regular,AZUL,COLISÃO COM AVE
9360,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9361,Voo Regular,AZUL,
9362,Táxi Aéreo,ONMI TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9363,Voo Regular,PASSAREDO,
9364,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9366,Voo Regular,AZUL,
9367,Voo Regular,AZUL,
9368,Táxi Aéreo,A R T TAXI AEREO LTDA,EXCURSÃO DE PISTA
9369,Táxi Aéreo,A R T TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9370,Táxi Aéreo,EMAR TAXI AEREO LTDA,COLISÃO COM AVE
9374,Voo Regular,AMERICAN AIRLINES,OUTROS
9381,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9385,Voo Regular,AZUL,
9395,Voo Regular,AZUL,
9396,Táxi Aéreo,LIDER TAXI AEREO S A AIR BRASIL,
9397,Voo Regular,AZUL,
9403,Táxi Aéreo,HERINGER TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9405,Voo Regular,AZUL,
9407,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9409,Táxi Aéreo,ATLAS TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9410,Voo Regular,OCEANAIR,
9412,Voo Regular,AZUL,
9414,Voo Regular,GOL,OUTROS
9415,Voo Regular,AZUL,
9419,Voo Regular,AZUL,COLISÃO NO SOLO
9420,Táxi Aéreo,UNIAIR ADM. PART. SERV. MED URG. LTDA,
9422,Táxi Aéreo,OMNI TAXI AEREO LTDA,FOGO/FUMAÇA
9429,Voo Regular,AZUL,
9430,Voo Regular,GOL,OUTROS
9431,Voo Regular,AZUL,
9432,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9433,Voo Regular,AZUL,
9435,Táxi Aéreo,GLOBAL TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9443,Voo Regular,AZUL,COLISÃO COM AVE
9446,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9448,Voo Regular,MAP,
9450,Táxi Aéreo,BRASIL VIDA TAXI AEREO LTDA - EPP,
9456,Voo Regular,AZUL,CONTATO ANORMAL COM A PISTA
9463,Voo Regular,OCEANAIR,INCURSÃO EM PISTA
9464,Voo Regular,AEROLINEAS ARGENTINAS,INCURSÃO EM PISTA
9466,Voo Regular,DELTA AIRLINES,OUTROS
9468,Voo Regular,IBERIA - LINEAS AEREAS DE ESPANHA S/A,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9469,Voo Regular,AZUL,
9472,Voo Regular,GOL,
9473,Voo Regular,TAM,
9474,Voo Regular,AZUL,
9475,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9478,Voo Regular,AZUL,
9479,Voo Regular,AZUL,
9482,Voo Regular,GOL,
9483,Voo Regular,GOL,FOGO/FUMAÇA
9486,Táxi Aéreo,TAF TAXI AEREO,
9492,Táxi Aéreo,CTA CLEITON TAXI AEREO LTDA,PERDA DE CONTROLE NO SOLO
9494,Táxi Aéreo,CTA CLEITON TAXI AEREO LTDA,EXCURSÃO DE PISTA
9495,Táxi Aéreo,AEROLEO TAXI AEREO,
9500,Voo Regular,OCEANAIR,
9501,Táxi Aéreo,REALI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9503,Voo Regular,AZUL,
9507,Voo Regular,OCEANAIR,
9508,Voo Regular,AZUL,
9509,Voo Regular,OCEANAIR,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9516,Voo Regular,AZUL,
9517,Voo Regular,PASSAREDO,OUTROS
9519,Táxi Aéreo,PIQUIATUBA TAXI AEREO LTDA - EPP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9522,Voo Regular,COLT TRANSPORTES AEREOS S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9528,Táxi Aéreo,OMNI TAXI AEREO LTDA,OUTROS
9537,Voo Regular,TAM,OUTROS
9540,Voo Regular,OPERADOR ESTRANGEIRO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9543,Voo Regular,GOL,
9544,Voo Regular,AZUL,
9547,Voo Regular,OCEANAIR,
9554,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9555,Voo Regular,AZUL,
9560,Voo Regular,TAM,
9561,Voo Regular,TAM,
9562,Voo Regular,OCEANAIR,
9564,Voo Regular,AZUL,
9567,Voo Regular,OCEANAIR,
9568,Voo Regular,AZUL,OUTROS
9569,Táxi Aéreo,HELIMARTE TAXI AEREO LTDA,INDETERMINADO
9570,Voo Regular,GOL,OUTROS
9574,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9575,Voo Regular,AZUL,
9576,Táxi Aéreo,BHS – BRAZILIAN HELICOPTER SERVICES TAXI AEREO S/A,OUTROS
9584,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9586,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9590,Táxi Aéreo,TWO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9591,Voo Regular,PASSAREDO,
9592,Voo Regular,GOL,
9595,Voo Regular,GOL,
9598,Voo Regular,AZUL,
9599,Voo Regular,AZUL,
9601,Táxi Aéreo,ALIANCA - TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9605,Táxi Aéreo,ALIANCA - TAXI AEREO LTDA,CONTATO ANORMAL COM A PISTA
9606,Voo Regular,TAM,
9607,Voo Regular,GOL,
9608,Voo Regular,AZUL,
9609,Voo Regular,AZUL,COLISÃO NO SOLO
9613,Voo Regular,TAM,
9615,Voo Regular,AZUL,
9616,Voo Regular,AZUL,
9617,Voo Regular,AZUL,
9629,Voo Regular,AZUL,
9632,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9646,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9649,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9650,Voo Regular,OCEANAIR,COLISÃO NO SOLO
9651,Voo Regular,TAM,COLISÃO COM AVE
9652,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9656,Táxi Aéreo,UNIAIR TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9658,Voo Regular,AZUL,
9659,Voo Regular,AZUL,
9663,Voo Regular,TAM,
9666,Voo Regular,TAM,OUTROS
9668,Voo Regular,GOL,COLISÃO COM AVE
9669,Voo Regular,TAM,INCURSÃO EM PISTA
9670,Voo Regular,OCEANAIR,INCURSÃO EM PISTA
9673,Voo Regular,GOL,
9674,Voo Regular,TAM,
9675,Voo Regular,PASSAREDO,CONTATO ANORMAL COM A PISTA
9676,Voo Regular,TAM,
9677,Voo Regular,TAF LINHAS AEREAS S/A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9681,Voo Regular,AZUL,
9682,Voo Regular,GOL,OUTROS
9683,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9696,Voo Regular,AZUL,
9707,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9717,Voo Regular,OCEANAIR,OUTROS
9718,Voo Regular,TAM,OUTROS
9724,Voo Regular,AZUL,COLISÃO NO SOLO
9725,Voo Regular,OCEANAIR,
9726,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9728,Voo Regular,OCEANAIR,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
9729,Voo Regular,GOL,INCURSÃO EM PISTA
9739,Voo Regular,AZUL,
9740,Voo Regular,GOL,
9741,Voo Regular,AZUL,
9746,Voo Regular,AZUL,
9747,Voo Regular,PASSAREDO,
9748,Voo Regular,OCEANAIR,OUTROS
9751,Voo Regular,AZUL,
9752,Voo Regular,PASSAREDO,
9760,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9769,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,
9770,Táxi Aéreo,BRABO TAXI AEREO LTDA,COLISÃO COM AVE
9772,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9774,Voo Regular,PASSAREDO,COLISÃO NO SOLO
9778,Voo Regular,PASSAREDO,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9779,Voo Regular,OCEANAIR,COLISÃO NO SOLO
9780,Voo Regular,STERNA LINHAS AEREAS LTDA,EXCURSÃO DE PISTA
9781,Voo Regular,STERNA LINHAS AEREAS LTDA,PERDA DE CONTROLE NO SOLO
9782,Táxi Aéreo,AEROLEO TAXI AEREO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9783,Voo Regular,AZUL,INCURSÃO EM PISTA
9785,Táxi Aéreo,CEARA TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9787,Táxi Aéreo,LIDER TAXI AEREO S/A – AIR BRASIL,COLISÃO NO SOLO
9792,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9796,Voo Regular,AZUL,COLISÃO COM AVE
9801,Voo Regular,TAM,
9803,Táxi Aéreo,TWO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9804,Voo Regular,TAM,
9805,Voo Regular,OCEANAIR,
9807,Voo Regular,GOL,
9810,Voo Regular,TAM,
9811,Voo Regular,AZUL,
9812,Voo Regular,TAM,
9813,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9814,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9820,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9821,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9822,Voo Regular,PASSAREDO,POUSO AQUÉM/ALÉM DA PISTA
9828,Voo Regular,TAM,
9830,Voo Regular,AZUL,
9831,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9832,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9833,Voo Regular,AZUL,
9838,Táxi Aéreo,JS TAXI AEREO,OUTROS
9845,Voo Regular,GOL,OUTROS
9850,Voo Regular,AUSTRAL LINEAS AEREAS S/A,OUTROS
9851,Voo Regular,PASSAREDO,INDETERMINADO
9855,Voo Regular,SIDERAL,OUTROS
9859,Voo Regular,AZUL,
9860,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9865,Voo Regular,TAM,
9874,Voo Regular,AZUL,
9875,Táxi Aéreo,NORTE JET TAXI AEREO,OUTROS
9876,Voo Regular,AZUL,
9878,Voo Regular,AZUL,
9879,Voo Regular,GOL,
9885,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9886,Táxi Aéreo,A. R. T. TAXI AEREO LTDA - ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9887,Voo Regular,GOL,COLISÃO COM AVE
9907,Voo Regular,,OUTROS
9908,Táxi Aéreo,RIO ACRE AEROTAXI LTDA ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9910,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9912,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9913,Táxi Aéreo,HELIC AIR TAXI AEREO E SERV AER ESP LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9915,Táxi Aéreo,OMNI TAXI AEREO LTDA,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
9924,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9926,Táxi Aéreo,COSTA DO SOL TÁXI AÉREO S.A.,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9931,Voo Regular,TAM LINHAS AÉREAS S.A.,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
9932,Voo Regular,AZUL CONECTA LTDA,PERDA DE SEPARAÇÃO / COLISÃO EM VOO
9934,Táxi Aéreo,OMNI TÁXI AÉREO S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9938,Táxi Aéreo,VOARE TÁXI AÉREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9940,Voo Regular,AZUL,COLISÃO COM AVE
9945,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9948,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9951,Voo Regular,GOL LINHAS AÉREAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9953,Táxi Aéreo,LÍDER TÁXI AÉREO S.A - AIR BRASIL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9960,Táxi Aéreo,AEROSUL TÁXI AÉREO LTDA,COLISÃO COM AVE
9966,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9971,Voo Regular,MAP TRANSPORTES AÉREOS LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
9974,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,OUTROS
9975,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9977,Voo Regular,GOL,FOGO/FUMAÇA
9979,Voo Regular,ITAPEMIRIM TRANSPORTES AÉREOS LTDA,COLISÃO COM AVE
9980,Voo Regular,TOTAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9981,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9986,Táxi Aéreo,CHC DO BRASIL TÁXI AÉREO S.A.,OUTROS
9988,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9991,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9992,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,OUTROS
9993,Táxi Aéreo,RIO ACRE AEROTAXI LTDA ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9995,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
9997,Táxi Aéreo,HELISUL TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10000,Voo Regular,GOL LINHAS AÉREAS S.A.,COMBUSTÍVEL
10001,Táxi Aéreo,OMNI TÁXI AÉREO S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10011,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10014,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10023,Táxi Aéreo,NHR TAXI AEREO LTDA,OUTROS
10024,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10029,Táxi Aéreo,ROTORFLY TAXI AEREO E SERVICOS AEREOS ESPECIALIZADOS LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
10032,Táxi Aéreo,AERO RIO TAXI AEREO LTDA,COLISÃO NO SOLO
10033,Táxi Aéreo,AERO RIO TAXI AEREO LTDA,COLISÃO NO SOLO
10035,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10042,Voo Regular,GOL,EXCURSÃO DE PISTA
10045,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10051,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10062,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
10066,Voo Regular,TAM,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10070,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10071,Voo Regular,GOL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10072,Táxi Aéreo,OMNI TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DO MOTOR
10080,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10082,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10083,Táxi Aéreo,AMAZONAVES TAXI AEREO LTDA,OUTROS
10098,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10106,Táxi Aéreo,ATA AEROTAXI ABAETE LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10107,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DO MOTOR
10112,Táxi Aéreo,BRISTOW TÁXI AÉREO S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10113,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10115,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10116,Voo Regular,AUSTRAL LINEAS AEREAS - ARGENTINAS,CONTATO ANORMAL COM A PISTA
10117,Voo Regular,AEROMÉXICO CONNECT AIRLINES,FOGO/FUMAÇA
10123,Voo Regular,TAM,CORTANTE DE VENTO / TEMPESTADE
10127,Voo Regular,TAM,FOGO/FUMAÇA
10128,Voo Regular,AZUL,OUTROS
10129,Voo Regular,PASSAREDO TRANSPORTES AEREOS S.A,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10131,Voo Regular,MAP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10135,Voo Regular,AZUL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10136,Voo Regular,AZUL,COLISÃO COM AVE
10142,Táxi Aéreo,RIO ACRE AEROTAXI LTDA ME,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10144,Táxi Aéreo,RICO TAXI AEREO LTDA,EXCURSÃO DE PISTA
10145,Voo Regular,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
10147,Táxi Aéreo,RICO TAXI AEREO LTDA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
